,Algorithm,Instance,Total Cost,Running Time,Type,Small-ratio,Medium-ratio,Large-ratio,Number of Customers,Number of Clusters,Region
0,AVNS,JK2_nc_12_ncl_5_nv_30_generated_r_0.20_0.60_0.20_0,1.0,5.0,Generated,0.2,0.6,0.2,15,5,JK2
1,AVNS,JK2_nc_12_ncl_5_nv_30_generated_r_0.60_0.20_0.20_0,1.0,5.0,Generated,0.6,0.2,0.2,15,5,JK2
2,AVNS,JK2_nc_12_ncl_5_nv_30_historical_0,3.0,9.0,Historical,,,,15,5,JK2
3,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.20_0.60_0,1.0,8.0,Generated,0.2,0.2,0.6,15,1,JK2
4,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.20_0.60_1,1.0,8.0,Generated,0.2,0.2,0.6,15,1,JK2
5,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.20_0.60_2,1.0,8.0,Generated,0.2,0.2,0.6,15,1,JK2
6,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_0,1.0,8.0,Generated,0.2,0.6,0.2,15,1,JK2
7,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_1,1.0,8.0,Generated,0.2,0.6,0.2,15,1,JK2
8,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_2,1.0,8.0,Generated,0.2,0.6,0.2,15,1,JK2
9,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.33_0.33_0.33_0,1.0,8.0,Generated,0.33,0.33,0.33,15,1,JK2
10,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.33_0.33_0.33_1,2.0,4.0,Generated,0.33,0.33,0.33,15,1,JK2
11,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.33_0.33_0.33_2,2.0,2.0,Generated,0.33,0.33,0.33,15,1,JK2
12,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.60_0.20_0.20_0,1.0,5.0,Generated,0.6,0.2,0.2,15,1,JK2
13,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.60_0.20_0.20_1,1.0,8.0,Generated,0.6,0.2,0.2,15,1,JK2
14,AVNS,JK2_nc_15_ncl_1_nv_30_generated_r_0.60_0.20_0.20_2,1.0,5.0,Generated,0.6,0.2,0.2,15,1,JK2
15,AVNS,JK2_nc_15_ncl_1_nv_30_historical_0,4.0,0.0,Historical,,,,15,1,JK2
16,AVNS,JK2_nc_15_ncl_1_nv_30_historical_1,3.0,9.0,Historical,,,,15,1,JK2
17,AVNS,JK2_nc_15_ncl_1_nv_30_historical_2,3.0,9.0,Historical,,,,15,1,JK2
18,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_0,1.0,9.0,Generated,0.2,0.2,0.6,15,3,JK2
19,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_1,1.0,8.0,Generated,0.2,0.2,0.6,15,3,JK2
20,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.20_0.20_0.60_2,1.0,5.0,Generated,0.2,0.2,0.6,15,3,JK2
21,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.20_0.60_0.20_0,2.0,2.0,Generated,0.2,0.6,0.2,15,3,JK2
22,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.20_0.60_0.20_1,1.0,9.0,Generated,0.2,0.6,0.2,15,3,JK2
23,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.20_0.60_0.20_2,2.0,6.0,Generated,0.2,0.6,0.2,15,3,JK2
24,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.33_0.33_0.33_0,2.0,6.0,Generated,0.33,0.33,0.33,15,3,JK2
25,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.33_0.33_0.33_1,2.0,2.0,Generated,0.33,0.33,0.33,15,3,JK2
26,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.33_0.33_0.33_2,2.0,2.0,Generated,0.33,0.33,0.33,15,3,JK2
27,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.60_0.20_0.20_0,1.0,8.0,Generated,0.6,0.2,0.2,15,3,JK2
28,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.60_0.20_0.20_1,1.0,1.0,Generated,0.6,0.2,0.2,15,3,JK2
29,AVNS,JK2_nc_15_ncl_3_nv_30_generated_r_0.60_0.20_0.20_2,1.0,5.0,Generated,0.6,0.2,0.2,15,3,JK2
30,AVNS,JK2_nc_15_ncl_3_nv_30_historical_0,3.0,8.0,Historical,,,,15,3,JK2
31,AVNS,JK2_nc_15_ncl_3_nv_30_historical_1,3.0,9.0,Historical,,,,15,3,JK2
32,AVNS,JK2_nc_15_ncl_3_nv_30_historical_2,3.0,8.0,Historical,,,,15,3,JK2
33,AVNS,JK2_nc_15_ncl_5_nv_30_generated_r_0.20_0.20_0.60_0,2.0,2.0,Generated,0.2,0.2,0.6,15,5,JK2
