Iteration 0, Best Total Cost: 7647990.799, total distance:964.019
Local search iteration 0, new objective: 7368228.799
Local search iteration 1, new objective: 5705908.799
Local search iteration 2, new objective: 5546541.199
Local search iteration 3, new objective: 5487433.199
Local search iteration 4, new objective: 5425424.399
Local search iteration 5, new objective: 5353234.799
Local search iteration 6, new objective: 5326055.199
Local search iteration 7, new objective: 5277503.199
Local search iteration 8, new objective: 5252319.999
Local search iteration 9, new objective: 5250270.399
Local search iteration 10, new objective: 5238644.799
Local search iteration 11, new objective: 5230096.399
Local search iteration 12, new objective: 5224207.999
Local search iteration 13, new objective: 5221531.199
Local search iteration 14, new objective: 5171248.799
Local search iteration 15, new objective: 5166911.599
Local search iteration 16, new objective: 5160244.799
Local search iteration 17, new objective: 5160244.799
Local search iteration 18, new objective: 5159917.199
Local search iteration 19, new objective: 5159866.799
Local search iteration 20, new objective: 5157769.599
Local search iteration 21, new objective: 5138292.799
Local search iteration 22, new objective: 5131021.199
Local search iteration 23, new objective: 5078341.999
Local search iteration 24, new objective: 5009856.799
Local search iteration 25, new objective: 5008882.399
Local search iteration 26, new objective: 5008882.399
Local search iteration 27, new objective: 5008882.399
Local search iteration 28, new objective: 5008585.599
Local search iteration 29, new objective: 4979140.799
Local search iteration 30, new objective: 4978801.999
Local search iteration 31, new objective: 4978801.999
Local search iteration 32, new objective: 4865273.199
Local search iteration 33, new objective: 4827383.599
Local search iteration 34, new objective: 4821212.399
Local search iteration 35, new objective: 4820739.199
Local search iteration 36, new objective: 4741529.999
Local search iteration 37, new objective: 4741479.599
Local search iteration 38, new objective: 4740205.599
Local search iteration 39, new objective: 4732939.599
Local search iteration 40, new objective: 4732275.999
Local search iteration 41, new objective: 4721658.399
Local search iteration 42, new objective: 4721658.399
Local search iteration 43, new objective: 4721042.399
