=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  4.131010E+07 |  3.403560E+07
     2 |       70 |  3.999251E+07 |  3.403560E+07
     3 |       90 |  3.897475E+07 |  3.403560E+07
     4 |      110 |  3.820976E+07 |  3.261880E+07
     5 |      130 |  3.923784E+07 |  3.261880E+07
     6 |      150 |  3.846630E+07 |  3.261880E+07
     7 |      170 |  3.802322E+07 |  3.237902E+07
     8 |      190 |  3.744636E+07 |  3.237902E+07
     9 |      210 |  3.779702E+07 |  3.237902E+07
    10 |      230 |  3.708210E+07 |  2.925792E+07
    11 |      250 |  3.677651E+07 |  2.925792E+07
    12 |      270 |  3.692889E+07 |  2.925792E+07
    13 |      290 |  3.664574E+07 |  2.925792E+07
    14 |      310 |  3.590500E+07 |  2.925792E+07
    15 |      330 |  3.692113E+07 |  2.925792E+07
    16 |      350 |  3.660497E+07 |  2.925792E+07
    17 |      370 |  3.628431E+07 |  2.925792E+07
    18 |      390 |  3.607533E+07 |  2.925792E+07
    19 |      410 |  3.593839E+07 |  2.925792E+07
    20 |      430 |  3.569962E+07 |  2.925792E+07
    21 |      450 |  3.634558E+07 |  2.925792E+07
    22 |      470 |  3.582515E+07 |  2.925792E+07
    23 |      490 |  3.618280E+07 |  2.925792E+07
    24 |      510 |  3.602960E+07 |  2.925792E+07
    25 |      530 |  3.601345E+07 |  2.925792E+07
    26 |      550 |  3.563186E+07 |  2.925792E+07
    27 |      570 |  3.593679E+07 |  2.925792E+07
    28 |      590 |  3.588541E+07 |  2.925792E+07
    29 |      610 |  3.597893E+07 |  2.925792E+07
    30 |      630 |  3.556752E+07 |  2.925792E+07
    31 |      650 |  3.590282E+07 |  2.925792E+07
    32 |      670 |  3.561732E+07 |  2.925792E+07
    33 |      690 |  3.594594E+07 |  2.925792E+07
    34 |      710 |  3.578319E+07 |  2.925792E+07
    35 |      730 |  3.536194E+07 |  2.925792E+07
    36 |      750 |  3.575388E+07 |  2.925792E+07
    37 |      770 |  3.598448E+07 |  2.925792E+07
    38 |      790 |  3.533445E+07 |  2.925792E+07
    39 |      810 |  3.546687E+07 |  2.925792E+07
    40 |      830 |  3.541071E+07 |  2.925792E+07
