======================================================================================================
n_gen  |  n_eval  |    f     |    S    |    w    |    c1    |    c2    |     f_avg     |     f_min    
======================================================================================================
     1 |       50 |        - |       - |  0.9000 |  2.00000 |  2.00000 |  1.003586E+08 |  8.551003E+07
     2 |      100 |  0.44529 |       2 |  0.6797 |  2.02805 |  1.97195 |  8.190043E+07 |  6.595819E+07
     3 |      150 |  0.23463 |       2 |  0.5510 |  2.07796 |  1.92204 |  7.840909E+07 |  6.595819E+07
     4 |      200 | -2.5E-02 |       3 |  0.3847 |  2.07637 |  1.94419 |  7.674043E+07 |  6.595819E+07
     5 |      250 | -7.3E-02 |       3 |  0.3552 |  2.06484 |  1.95430 |  7.518374E+07 |  6.595819E+07
     6 |      300 | -7.4E-02 |       3 |  0.3548 |  2.05417 |  1.96591 |  7.351947E+07 |  6.595819E+07
     7 |      350 | -7.4E-02 |       3 |  0.3546 |  2.04334 |  1.97480 |  7.331326E+07 |  6.595819E+07
     8 |      400 | -7.1E-02 |       3 |  0.3568 |  2.03341 |  1.99194 |  7.286756E+07 |  6.595819E+07
     9 |      450 | -6.9E-02 |       3 |  0.3581 |  2.02026 |  2.00287 |  7.234631E+07 |  6.595819E+07
    10 |      500 | -6.7E-02 |       3 |  0.3592 |  2.00851 |  2.01304 |  7.185190E+07 |  6.595819E+07
    11 |      550 | -6.4E-02 |       3 |  0.3611 |  1.99778 |  2.02412 |  7.167102E+07 |  6.595819E+07
    12 |      600 |  0.01276 |       3 |  0.4080 |  1.98719 |  2.04029 |  7.132697E+07 |  6.595819E+07
    13 |      650 |  0.00508 |       3 |  0.4032 |  1.97422 |  2.05527 |  7.102425E+07 |  6.595819E+07
    14 |      700 |  0.00597 |       3 |  0.4037 |  1.96030 |  2.06030 |  7.083354E+07 |  6.595819E+07
    15 |      750 |  0.00428 |       3 |  0.4027 |  1.95118 |  2.07271 |  7.060091E+07 |  6.595819E+07
    16 |      800 |  0.01227 |       3 |  0.4077 |  1.94043 |  2.07941 |  7.050311E+07 |  6.464396E+07
    17 |      850 |  0.23005 |       3 |  0.5480 |  1.93236 |  2.09453 |  7.037197E+07 |  6.464396E+07
    18 |      900 |  0.20206 |       3 |  0.5299 |  1.92059 |  2.10034 |  7.025301E+07 |  6.464396E+07
    19 |      950 |  0.15604 |       3 |  0.5001 |  1.91271 |  2.11635 |  6.987180E+07 |  6.445114E+07
    20 |     1000 |  0.14391 |       3 |  0.4922 |  1.90110 |  2.12789 |  6.981076E+07 |  6.445114E+07
    21 |     1050 |  0.11660 |       3 |  0.4744 |  1.88923 |  2.13410 |  6.960910E+07 |  6.445114E+07
    22 |     1100 |  0.08905 |       3 |  0.4566 |  1.88009 |  2.14068 |  6.929019E+07 |  6.445114E+07
    23 |     1150 |  0.05931 |       3 |  0.4375 |  1.87312 |  2.15328 |  6.914921E+07 |  6.317371E+07
    24 |     1200 |  0.40665 |       2 |  0.6574 |  1.89047 |  2.11609 |  6.872883E+07 |  6.317371E+07
    25 |     1250 |  0.38562 |       2 |  0.6450 |  1.93639 |  2.06525 |  6.862741E+07 |  6.317371E+07
    26 |     1300 |  0.37048 |       2 |  0.6359 |  1.96873 |  2.03168 |  6.857261E+07 |  6.317371E+07
    27 |     1350 |  0.37048 |       2 |  0.6359 |  2.01826 |  1.98184 |  6.857261E+07 |  6.317371E+07
    28 |     1400 |  0.33770 |       2 |  0.6160 |  2.06457 |  1.93545 |  6.844185E+07 |  6.317371E+07
    29 |     1450 |  0.29059 |       2 |  0.5866 |  2.09566 |  1.90434 |  6.833176E+07 |  6.317371E+07
    30 |     1500 |  0.28535 |       2 |  0.5833 |  2.12429 |  1.87571 |  6.830837E+07 |  6.317371E+07
    31 |     1550 |  0.30613 |       2 |  0.5964 |  2.16503 |  1.83497 |  6.817432E+07 |  6.260776E+07
    32 |     1600 |  0.69204 |       1 |  0.8012 |  2.22779 |  1.77221 |  6.817432E+07 |  6.260776E+07
    33 |     1650 |  0.65584 |       1 |  0.7858 |  2.27857 |  1.72143 |  6.798562E+07 |  6.260706E+07
    34 |     1700 |  0.06819 |       3 |  0.4432 |  2.27340 |  1.74501 |  6.783236E+07 |  6.260706E+07
    35 |     1750 |  0.02885 |       3 |  0.4181 |  2.25737 |  1.76841 |  6.771560E+07 |  6.260706E+07
    36 |     1800 |  0.05783 |       3 |  0.4366 |  2.23918 |  1.78243 |  6.763109E+07 |  6.111172E+07
    37 |     1850 |  0.28802 |       2 |  0.5850 |  2.25850 |  1.74679 |  6.756747E+07 |  6.111172E+07
    38 |     1900 |  0.26882 |       2 |  0.5728 |  2.30052 |  1.70077 |  6.753373E+07 |  6.111172E+07
    39 |     1950 |  0.29322 |       2 |  0.5883 |  2.33179 |  1.66852 |  6.739035E+07 |  6.111172E+07
    40 |     2000 |  0.28255 |       2 |  0.5816 |  2.37620 |  1.62388 |  6.737278E+07 |  6.111172E+07
    41 |     2050 |  0.28707 |       2 |  0.5844 |  2.40155 |  1.59847 |  6.734484E+07 |  6.111172E+07
    42 |     2100 |  0.23282 |       3 |  0.5498 |  2.39237 |  1.62989 |  6.729004E+07 |  6.111172E+07
    43 |     2150 |  0.22958 |       3 |  0.5477 |  2.37198 |  1.65182 |  6.725002E+07 |  6.111172E+07
    44 |     2200 |  0.22958 |       3 |  0.5477 |  2.34942 |  1.67978 |  6.725002E+07 |  6.111172E+07
    45 |     2250 |  0.22258 |       3 |  0.5432 |  2.32615 |  1.69944 |  6.713792E+07 |  6.111172E+07
