de JK2_nc_30_ncl_3_nv_60_generated_r_0.20_0.20_0.60_1.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  6.577186E+07 |  5.436529E+07
     2 |      100 |  6.345482E+07 |  5.436529E+07
     3 |      150 |  6.195144E+07 |  5.436529E+07
     4 |      200 |  6.133908E+07 |  5.436529E+07
     5 |      250 |  5.963717E+07 |  5.141896E+07
     6 |      300 |  5.920654E+07 |  5.141896E+07
     7 |      350 |  5.840165E+07 |  5.141896E+07
     8 |      400 |  5.781652E+07 |  5.000073E+07
     9 |      450 |  5.754567E+07 |  5.000073E+07
    10 |      500 |  5.732890E+07 |  5.000073E+07
    11 |      550 |  5.728557E+07 |  5.000073E+07
    12 |      600 |  5.723500E+07 |  5.000073E+07
    13 |      650 |  5.723075E+07 |  5.000073E+07
    14 |      700 |  5.697536E+07 |  5.000073E+07
    15 |      750 |  5.682032E+07 |  5.000073E+07
    16 |      800 |  5.670374E+07 |  5.000073E+07
    17 |      850 |  5.670373E+07 |  5.000073E+07
    18 |      900 |  5.667562E+07 |  5.000073E+07
    19 |      950 |  5.666888E+07 |  5.000073E+07
    20 |     1000 |  5.659636E+07 |  5.000073E+07
    21 |     1050 |  5.652618E+07 |  5.000073E+07
    22 |     1100 |  5.636101E+07 |  5.000073E+07
    23 |     1150 |  5.608789E+07 |  5.000073E+07
    24 |     1200 |  5.608605E+07 |  5.000073E+07
    25 |     1250 |  5.605496E+07 |  5.000073E+07
    26 |     1300 |  5.593991E+07 |  5.000073E+07
    27 |     1350 |  5.586356E+07 |  5.000073E+07
    28 |     1400 |  5.586206E+07 |  5.000073E+07
    29 |     1450 |  5.578751E+07 |  5.000073E+07
    30 |     1500 |  5.578652E+07 |  5.000073E+07
    31 |     1550 |  5.574098E+07 |  5.000073E+07
    32 |     1600 |  5.574042E+07 |  5.000073E+07
    33 |     1650 |  5.574042E+07 |  5.000073E+07
    34 |     1700 |  5.574034E+07 |  5.000073E+07
    35 |     1750 |  5.574034E+07 |  5.000073E+07
    36 |     1800 |  5.573987E+07 |  5.000073E+07
    37 |     1850 |  5.573987E+07 |  5.000073E+07
    38 |     1900 |  5.573970E+07 |  5.000073E+07
