de MKS_nc_30_ncl_5_nv_60_generated_r_0.20_0.20_0.60_1.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  8.151986E+07 |  7.006026E+07
     2 |      100 |  7.780760E+07 |  6.719844E+07
     3 |      150 |  7.642096E+07 |  6.719844E+07
     4 |      200 |  7.486638E+07 |  6.689157E+07
     5 |      250 |  7.360782E+07 |  6.674462E+07
     6 |      300 |  7.335077E+07 |  6.674462E+07
     7 |      350 |  7.314052E+07 |  6.674462E+07
     8 |      400 |  7.293859E+07 |  6.674462E+07
     9 |      450 |  7.218024E+07 |  6.674462E+07
    10 |      500 |  7.218024E+07 |  6.674462E+07
    11 |      550 |  7.201988E+07 |  6.674462E+07
    12 |      600 |  7.200832E+07 |  6.674462E+07
    13 |      650 |  7.200691E+07 |  6.674462E+07
    14 |      700 |  7.197267E+07 |  6.674462E+07
    15 |      750 |  7.190732E+07 |  6.674462E+07
    16 |      800 |  7.174133E+07 |  6.605486E+07
    17 |      850 |  7.164877E+07 |  6.605486E+07
    18 |      900 |  7.164877E+07 |  6.605486E+07
    19 |      950 |  7.154143E+07 |  6.605486E+07
    20 |     1000 |  7.137360E+07 |  6.605486E+07
    21 |     1050 |  7.136127E+07 |  6.605486E+07
    22 |     1100 |  7.116940E+07 |  6.605486E+07
    23 |     1150 |  7.116940E+07 |  6.605486E+07
    24 |     1200 |  7.111674E+07 |  6.605486E+07
    25 |     1250 |  7.099586E+07 |  6.605486E+07
    26 |     1300 |  7.099302E+07 |  6.605486E+07
    27 |     1350 |  7.098452E+07 |  6.605486E+07
    28 |     1400 |  7.093749E+07 |  6.605486E+07
    29 |     1450 |  7.093749E+07 |  6.605486E+07
    30 |     1500 |  7.093749E+07 |  6.605486E+07
    31 |     1550 |  7.093749E+07 |  6.605486E+07
    32 |     1600 |  7.083900E+07 |  6.605486E+07
    33 |     1650 |  7.077281E+07 |  6.605486E+07
    34 |     1700 |  7.063565E+07 |  6.605486E+07
    35 |     1750 |  7.060991E+07 |  6.605486E+07
    36 |     1800 |  7.060991E+07 |  6.605486E+07
    37 |     1850 |  7.056250E+07 |  6.605486E+07
    38 |     1900 |  7.055147E+07 |  6.605486E+07
    39 |     1950 |  7.044945E+07 |  6.603682E+07
    40 |     2000 |  7.042954E+07 |  6.603682E+07
    41 |     2050 |  7.042937E+07 |  6.603682E+07
    42 |     2100 |  7.014300E+07 |  6.603682E+07
    43 |     2150 |  7.002069E+07 |  6.593041E+07
    44 |     2200 |  7.001517E+07 |  6.593041E+07
    45 |     2250 |  6.998617E+07 |  6.593041E+07
    46 |     2300 |  6.993285E+07 |  6.593041E+07
    47 |     2350 |  6.987533E+07 |  6.593041E+07
    48 |     2400 |  6.987533E+07 |  6.593041E+07
    49 |     2450 |  6.987533E+07 |  6.593041E+07
    50 |     2500 |  6.983098E+07 |  6.593041E+07
    51 |     2550 |  6.980020E+07 |  6.593041E+07
    52 |     2600 |  6.975366E+07 |  6.593041E+07
    53 |     2650 |  6.972605E+07 |  6.593041E+07
    54 |     2700 |  6.972605E+07 |  6.593041E+07
    55 |     2750 |  6.972605E+07 |  6.593041E+07
    56 |     2800 |  6.954621E+07 |  6.593041E+07
    57 |     2850 |  6.954621E+07 |  6.593041E+07
    58 |     2900 |  6.934382E+07 |  6.501919E+07
    59 |     2950 |  6.933947E+07 |  6.501919E+07
    60 |     3000 |  6.933947E+07 |  6.501919E+07
    61 |     3050 |  6.932141E+07 |  6.501919E+07
    62 |     3100 |  6.923585E+07 |  6.501919E+07
    63 |     3150 |  6.923585E+07 |  6.501919E+07
    64 |     3200 |  6.920782E+07 |  6.501919E+07
    65 |     3250 |  6.900039E+07 |  6.030639E+07
    66 |     3300 |  6.900039E+07 |  6.030639E+07
    67 |     3350 |  6.900039E+07 |  6.030639E+07
    68 |     3400 |  6.899242E+07 |  6.030639E+07
    69 |     3450 |  6.897797E+07 |  6.030639E+07
    70 |     3500 |  6.897797E+07 |  6.030639E+07
    71 |     3550 |  6.887838E+07 |  6.030639E+07
    72 |     3600 |  6.886782E+07 |  6.030639E+07
    73 |     3650 |  6.886782E+07 |  6.030639E+07
    74 |     3700 |  6.886782E+07 |  6.030639E+07
    75 |     3750 |  6.886782E+07 |  6.030639E+07
    76 |     3800 |  6.886782E+07 |  6.030639E+07
    77 |     3850 |  6.877569E+07 |  6.030639E+07
    78 |     3900 |  6.877569E+07 |  6.030639E+07
    79 |     3950 |  6.877569E+07 |  6.030639E+07
    80 |     4000 |  6.877502E+07 |  6.030639E+07
    81 |     4050 |  6.876477E+07 |  6.030639E+07
    82 |     4100 |  6.873028E+07 |  6.030639E+07
    83 |     4150 |  6.866535E+07 |  6.030639E+07
    84 |     4200 |  6.866535E+07 |  6.030639E+07
    85 |     4250 |  6.863192E+07 |  6.030639E+07
    86 |     4300 |  6.863192E+07 |  6.030639E+07
    87 |     4350 |  6.863192E+07 |  6.030639E+07
    88 |     4400 |  6.854272E+07 |  6.030639E+07
    89 |     4450 |  6.854272E+07 |  6.030639E+07
    90 |     4500 |  6.854272E+07 |  6.030639E+07
    91 |     4550 |  6.854272E+07 |  6.030639E+07
    92 |     4600 |  6.843029E+07 |  6.030639E+07
    93 |     4650 |  6.843029E+07 |  6.030639E+07
    94 |     4700 |  6.843029E+07 |  6.030639E+07
    95 |     4750 |  6.843029E+07 |  6.030639E+07
