de MKS_nc_48_ncl_3_nv_100_historical_5.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.370456E+08 |  1.185206E+08
     2 |      100 |  1.334703E+08 |  1.185206E+08
     3 |      150 |  1.304610E+08 |  1.185206E+08
     4 |      200 |  1.283731E+08 |  1.152571E+08
     5 |      250 |  1.271301E+08 |  1.152571E+08
     6 |      300 |  1.263606E+08 |  1.152571E+08
     7 |      350 |  1.253805E+08 |  1.152571E+08
     8 |      400 |  1.245850E+08 |  1.109744E+08
     9 |      450 |  1.230591E+08 |  1.094330E+08
    10 |      500 |  1.221234E+08 |  1.092551E+08
    11 |      550 |  1.211804E+08 |  1.016081E+08
    12 |      600 |  1.205372E+08 |  1.016081E+08
    13 |      650 |  1.200034E+08 |  1.016081E+08
    14 |      700 |  1.185278E+08 |  1.016081E+08
    15 |      750 |  1.183673E+08 |  1.016081E+08
    16 |      800 |  1.172566E+08 |  9.683993E+07
    17 |      850 |  1.164951E+08 |  9.683993E+07
    18 |      900 |  1.157229E+08 |  9.683993E+07
    19 |      950 |  1.153725E+08 |  9.683993E+07
    20 |     1000 |  1.146205E+08 |  9.683993E+07
    21 |     1050 |  1.142213E+08 |  9.683993E+07
    22 |     1100 |  1.139118E+08 |  9.604589E+07
    23 |     1150 |  1.136166E+08 |  9.604589E+07
    24 |     1200 |  1.130708E+08 |  9.604589E+07
    25 |     1250 |  1.126220E+08 |  9.604589E+07
    26 |     1300 |  1.122257E+08 |  9.604589E+07
    27 |     1350 |  1.115942E+08 |  9.604589E+07
    28 |     1400 |  1.110551E+08 |  9.604589E+07
    29 |     1450 |  1.108929E+08 |  9.451328E+07
    30 |     1500 |  1.106486E+08 |  9.451328E+07
    31 |     1550 |  1.104063E+08 |  9.451328E+07
    32 |     1600 |  1.100088E+08 |  9.451328E+07
    33 |     1650 |  1.095279E+08 |  9.451328E+07
    34 |     1700 |  1.093075E+08 |  9.451328E+07
    35 |     1750 |  1.092257E+08 |  9.451328E+07
    36 |     1800 |  1.081801E+08 |  9.414267E+07
    37 |     1850 |  1.078066E+08 |  9.414267E+07
    38 |     1900 |  1.074884E+08 |  9.414267E+07
    39 |     1950 |  1.067034E+08 |  9.414267E+07
    40 |     2000 |  1.065560E+08 |  9.414267E+07
    41 |     2050 |  1.063008E+08 |  9.414267E+07
    42 |     2100 |  1.058529E+08 |  9.358800E+07
    43 |     2150 |  1.054936E+08 |  9.358800E+07
    44 |     2200 |  1.050535E+08 |  9.358800E+07
    45 |     2250 |  1.046365E+08 |  9.358800E+07
    46 |     2300 |  1.044082E+08 |  8.904855E+07
    47 |     2350 |  1.037865E+08 |  8.904855E+07
    48 |     2400 |  1.035148E+08 |  8.904855E+07
    49 |     2450 |  1.032642E+08 |  8.904855E+07
    50 |     2500 |  1.031272E+08 |  8.904855E+07
    51 |     2550 |  1.026522E+08 |  8.904855E+07
    52 |     2600 |  1.026020E+08 |  8.904855E+07
    53 |     2650 |  1.025344E+08 |  8.904855E+07
    54 |     2700 |  1.024787E+08 |  8.904855E+07
    55 |     2750 |  1.021861E+08 |  8.904855E+07
    56 |     2800 |  1.018025E+08 |  8.823609E+07
    57 |     2850 |  1.017374E+08 |  8.823609E+07
    58 |     2900 |  1.015586E+08 |  8.823609E+07
    59 |     2950 |  1.013606E+08 |  8.823609E+07
    60 |     3000 |  1.012568E+08 |  8.823609E+07
    61 |     3050 |  1.011619E+08 |  8.823609E+07
    62 |     3100 |  1.010988E+08 |  8.823609E+07
    63 |     3150 |  1.008203E+08 |  8.823609E+07
    64 |     3200 |  1.005644E+08 |  8.823609E+07
    65 |     3250 |  1.004396E+08 |  8.823609E+07
    66 |     3300 |  1.002205E+08 |  8.823609E+07
    67 |     3350 |  1.000990E+08 |  8.823609E+07
    68 |     3400 |  9.959501E+07 |  8.823609E+07
    69 |     3450 |  9.955531E+07 |  8.823609E+07
    70 |     3500 |  9.914498E+07 |  8.823609E+07
    71 |     3550 |  9.894966E+07 |  8.823609E+07
    72 |     3600 |  9.874111E+07 |  8.757843E+07
    73 |     3650 |  9.873544E+07 |  8.757843E+07
    74 |     3700 |  9.845405E+07 |  8.757843E+07
    75 |     3750 |  9.833438E+07 |  8.757843E+07
    76 |     3800 |  9.828794E+07 |  8.757843E+07
    77 |     3850 |  9.795873E+07 |  8.757843E+07
    78 |     3900 |  9.761388E+07 |  8.757843E+07
    79 |     3950 |  9.745050E+07 |  8.757843E+07
    80 |     4000 |  9.727399E+07 |  8.202736E+07
    81 |     4050 |  9.711410E+07 |  8.202736E+07
    82 |     4100 |  9.697507E+07 |  8.202736E+07
    83 |     4150 |  9.662072E+07 |  8.202736E+07
    84 |     4200 |  9.661991E+07 |  8.202736E+07
    85 |     4250 |  9.602203E+07 |  8.202736E+07
    86 |     4300 |  9.559873E+07 |  8.202736E+07
    87 |     4350 |  9.545955E+07 |  8.202736E+07
    88 |     4400 |  9.543820E+07 |  8.202736E+07
    89 |     4450 |  9.541194E+07 |  8.202736E+07
