de SBY_nc_50_ncl_1_nv_100_generated_r_0.60_0.20_0.20_2.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.175428E+08 |  9.262819E+07
     2 |      100 |  1.109061E+08 |  8.797023E+07
     3 |      150 |  1.056185E+08 |  8.785737E+07
     4 |      200 |  1.022484E+08 |  8.619741E+07
     5 |      250 |  9.767537E+07 |  8.170069E+07
     6 |      300 |  9.476313E+07 |  8.000960E+07
     7 |      350 |  9.242761E+07 |  8.000960E+07
     8 |      400 |  9.086395E+07 |  8.000960E+07
     9 |      450 |  8.946540E+07 |  8.000960E+07
    10 |      500 |  8.780149E+07 |  7.831190E+07
    11 |      550 |  8.642329E+07 |  7.831190E+07
    12 |      600 |  8.551212E+07 |  7.769067E+07
    13 |      650 |  8.472123E+07 |  7.769067E+07
    14 |      700 |  8.411625E+07 |  7.769067E+07
    15 |      750 |  8.388231E+07 |  7.758746E+07
    16 |      800 |  8.348759E+07 |  7.758746E+07
    17 |      850 |  8.304645E+07 |  7.758746E+07
    18 |      900 |  8.255181E+07 |  7.706661E+07
    19 |      950 |  8.226964E+07 |  7.706661E+07
    20 |     1000 |  8.203299E+07 |  7.706661E+07
    21 |     1050 |  8.154636E+07 |  7.706661E+07
    22 |     1100 |  8.140505E+07 |  7.706661E+07
    23 |     1150 |  8.111834E+07 |  7.465250E+07
    24 |     1200 |  8.080627E+07 |  7.465250E+07
    25 |     1250 |  8.056482E+07 |  7.465250E+07
    26 |     1300 |  8.026537E+07 |  7.465250E+07
    27 |     1350 |  8.020122E+07 |  7.465250E+07
    28 |     1400 |  8.013548E+07 |  7.465250E+07
    29 |     1450 |  8.003849E+07 |  7.465250E+07
    30 |     1500 |  8.000504E+07 |  7.465250E+07
    31 |     1550 |  7.998565E+07 |  7.465250E+07
    32 |     1600 |  7.996194E+07 |  7.465250E+07
    33 |     1650 |  7.989525E+07 |  7.465250E+07
    34 |     1700 |  7.983038E+07 |  7.465250E+07
    35 |     1750 |  7.983038E+07 |  7.465250E+07
    36 |     1800 |  7.974409E+07 |  7.465250E+07
    37 |     1850 |  7.967111E+07 |  7.415149E+07
    38 |     1900 |  7.966903E+07 |  7.415149E+07
    39 |     1950 |  7.963083E+07 |  7.415149E+07
    40 |     2000 |  7.952833E+07 |  7.415149E+07
    41 |     2050 |  7.933890E+07 |  7.415149E+07
    42 |     2100 |  7.927698E+07 |  7.415149E+07
    43 |     2150 |  7.926118E+07 |  7.415149E+07
    44 |     2200 |  7.923699E+07 |  7.415149E+07
    45 |     2250 |  7.915512E+07 |  7.415149E+07
    46 |     2300 |  7.915505E+07 |  7.415149E+07
    47 |     2350 |  7.908515E+07 |  7.415149E+07
    48 |     2400 |  7.902623E+07 |  7.415149E+07
    49 |     2450 |  7.887076E+07 |  7.329108E+07
    50 |     2500 |  7.885897E+07 |  7.329108E+07
    51 |     2550 |  7.867877E+07 |  7.329108E+07
    52 |     2600 |  7.867039E+07 |  7.329108E+07
    53 |     2650 |  7.857015E+07 |  7.329108E+07
    54 |     2700 |  7.854007E+07 |  7.329108E+07
    55 |     2750 |  7.840674E+07 |  7.329108E+07
    56 |     2800 |  7.832461E+07 |  7.329108E+07
    57 |     2850 |  7.825628E+07 |  7.329108E+07
    58 |     2900 |  7.822500E+07 |  7.329108E+07
    59 |     2950 |  7.820142E+07 |  7.329108E+07
    60 |     3000 |  7.820142E+07 |  7.329108E+07
    61 |     3050 |  7.816578E+07 |  7.329108E+07
    62 |     3100 |  7.815380E+07 |  7.329108E+07
    63 |     3150 |  7.815311E+07 |  7.329108E+07
    64 |     3200 |  7.813679E+07 |  7.329108E+07
    65 |     3250 |  7.813679E+07 |  7.329108E+07
    66 |     3300 |  7.812146E+07 |  7.329108E+07
    67 |     3350 |  7.812146E+07 |  7.329108E+07
    68 |     3400 |  7.809731E+07 |  7.329108E+07
    69 |     3450 |  7.809731E+07 |  7.329108E+07
    70 |     3500 |  7.809731E+07 |  7.329108E+07
    71 |     3550 |  7.803854E+07 |  7.329108E+07
    72 |     3600 |  7.797106E+07 |  7.329108E+07
    73 |     3650 |  7.796159E+07 |  7.329108E+07
    74 |     3700 |  7.791897E+07 |  7.329108E+07
    75 |     3750 |  7.791897E+07 |  7.329108E+07
    76 |     3800 |  7.790130E+07 |  7.329108E+07
    77 |     3850 |  7.790010E+07 |  7.329108E+07
    78 |     3900 |  7.787497E+07 |  7.329108E+07
    79 |     3950 |  7.784654E+07 |  7.329108E+07
