brkga MKS_nc_48_ncl_3_nv_100_historical_5.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.370456E+08 |  1.185206E+08
     2 |       70 |  1.336187E+08 |  1.185206E+08
     3 |       90 |  1.305873E+08 |  1.185206E+08
     4 |      110 |  1.291328E+08 |  1.185206E+08
     5 |      130 |  1.289736E+08 |  1.177123E+08
     6 |      150 |  1.267122E+08 |  1.177123E+08
     7 |      170 |  1.274284E+08 |  1.153293E+08
     8 |      190 |  1.258459E+08 |  1.148028E+08
     9 |      210 |  1.254769E+08 |  1.107115E+08
    10 |      230 |  1.234765E+08 |  1.098730E+08
    11 |      250 |  1.230953E+08 |  1.098730E+08
    12 |      270 |  1.243657E+08 |  1.098730E+08
    13 |      290 |  1.234704E+08 |  1.098730E+08
    14 |      310 |  1.224018E+08 |  1.098730E+08
    15 |      330 |  1.217810E+08 |  1.098730E+08
    16 |      350 |  1.214543E+08 |  1.098730E+08
    17 |      370 |  1.208099E+08 |  1.098730E+08
    18 |      390 |  1.203986E+08 |  1.078984E+08
    19 |      410 |  1.204013E+08 |  1.078984E+08
    20 |      430 |  1.198672E+08 |  1.078984E+08
    21 |      450 |  1.206966E+08 |  1.068616E+08
    22 |      470 |  1.196379E+08 |  1.068616E+08
    23 |      490 |  1.186838E+08 |  1.068616E+08
    24 |      510 |  1.192584E+08 |  1.068616E+08
    25 |      530 |  1.188263E+08 |  1.068616E+08
    26 |      550 |  1.172769E+08 |  1.068616E+08
    27 |      570 |  1.173879E+08 |  1.068616E+08
    28 |      590 |  1.178458E+08 |  1.068616E+08
    29 |      610 |  1.182005E+08 |  1.068616E+08
    30 |      630 |  1.173190E+08 |  1.060806E+08
    31 |      650 |  1.164313E+08 |  1.060806E+08
    32 |      670 |  1.172092E+08 |  1.060806E+08
    33 |      690 |  1.160717E+08 |  1.042013E+08
    34 |      710 |  1.174372E+08 |  1.042013E+08
    35 |      730 |  1.158815E+08 |  1.042013E+08
    36 |      750 |  1.151625E+08 |  1.042013E+08
    37 |      770 |  1.164369E+08 |  9.729110E+07
    38 |      790 |  1.133069E+08 |  9.729110E+07
    39 |      810 |  1.142823E+08 |  9.729110E+07
    40 |      830 |  1.146529E+08 |  9.729110E+07
    41 |      850 |  1.151485E+08 |  9.729110E+07
    42 |      870 |  1.139732E+08 |  9.458957E+07
    43 |      890 |  1.139429E+08 |  9.458957E+07
    44 |      910 |  1.121479E+08 |  9.458957E+07
    45 |      930 |  1.115655E+08 |  9.458957E+07
    46 |      950 |  1.116264E+08 |  9.458957E+07
    47 |      970 |  1.116256E+08 |  9.458957E+07
    48 |      990 |  1.123761E+08 |  9.458957E+07
    49 |     1010 |  1.106124E+08 |  9.458957E+07
    50 |     1030 |  1.098621E+08 |  9.458957E+07
    51 |     1050 |  1.087080E+08 |  9.458957E+07
    52 |     1070 |  1.091217E+08 |  9.458957E+07
    53 |     1090 |  1.086839E+08 |  9.458957E+07
    54 |     1110 |  1.087111E+08 |  9.458957E+07
    55 |     1130 |  1.084009E+08 |  9.458957E+07
    56 |     1150 |  1.077490E+08 |  9.458957E+07
    57 |     1170 |  1.084487E+08 |  9.458957E+07
    58 |     1190 |  1.077926E+08 |  9.355689E+07
    59 |     1210 |  1.075108E+08 |  9.355689E+07
    60 |     1230 |  1.058025E+08 |  9.355689E+07
    61 |     1250 |  1.043763E+08 |  9.355689E+07
    62 |     1270 |  1.063741E+08 |  9.355689E+07
    63 |     1290 |  1.051435E+08 |  9.355689E+07
    64 |     1310 |  1.044171E+08 |  9.218150E+07
    65 |     1330 |  1.044007E+08 |  9.218150E+07
    66 |     1350 |  1.040752E+08 |  9.218150E+07
    67 |     1370 |  1.050782E+08 |  9.218150E+07
    68 |     1390 |  1.025010E+08 |  9.002481E+07
    69 |     1410 |  1.008136E+08 |  9.002481E+07
    70 |     1430 |  1.017553E+08 |  8.901009E+07
    71 |     1450 |  1.014167E+08 |  8.901009E+07
    72 |     1470 |  1.014438E+08 |  8.901009E+07
    73 |     1490 |  9.970411E+07 |  8.901009E+07
    74 |     1510 |  1.015520E+08 |  8.901009E+07
    75 |     1530 |  9.956116E+07 |  8.901009E+07
    76 |     1550 |  9.924790E+07 |  8.656059E+07
    77 |     1570 |  9.893186E+07 |  8.656059E+07
    78 |     1590 |  9.828271E+07 |  8.656059E+07
    79 |     1610 |  9.742880E+07 |  8.656059E+07
    80 |     1630 |  9.691559E+07 |  8.656059E+07
    81 |     1650 |  9.637241E+07 |  8.656059E+07
    82 |     1670 |  9.736955E+07 |  8.588580E+07
    83 |     1690 |  9.615990E+07 |  8.588580E+07
    84 |     1710 |  9.682856E+07 |  8.436461E+07
    85 |     1730 |  9.537353E+07 |  8.286874E+07
    86 |     1750 |  9.583902E+07 |  8.286874E+07
    87 |     1770 |  9.471846E+07 |  8.286874E+07
    88 |     1790 |  9.356220E+07 |  8.286874E+07
    89 |     1810 |  9.335350E+07 |  8.286874E+07
    90 |     1830 |  9.336082E+07 |  8.003104E+07
