brkga SBY_nc_48_ncl_3_nv_100_generated_r_0.33_0.33_0.33_0.json
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  1.048546E+08 |  9.170189E+07
     2 |       70 |  1.028310E+08 |  9.170189E+07
     3 |       90 |  1.020198E+08 |  9.170189E+07
     4 |      110 |  1.015034E+08 |  9.170189E+07
     5 |      130 |  1.001807E+08 |  9.170189E+07
     6 |      150 |  9.964776E+07 |  9.170189E+07
     7 |      170 |  9.862580E+07 |  9.031133E+07
     8 |      190 |  9.836983E+07 |  9.031133E+07
     9 |      210 |  9.883889E+07 |  8.165315E+07
    10 |      230 |  9.769312E+07 |  8.165315E+07
    11 |      250 |  9.679548E+07 |  8.165315E+07
    12 |      270 |  9.642630E+07 |  8.165315E+07
    13 |      290 |  9.616954E+07 |  8.165315E+07
    14 |      310 |  9.733676E+07 |  8.165315E+07
    15 |      330 |  9.715450E+07 |  8.165315E+07
    16 |      350 |  9.795729E+07 |  8.165315E+07
    17 |      370 |  9.681704E+07 |  8.165315E+07
    18 |      390 |  9.672348E+07 |  8.165315E+07
    19 |      410 |  9.673946E+07 |  8.165315E+07
    20 |      430 |  9.636897E+07 |  8.165315E+07
    21 |      450 |  9.710139E+07 |  8.165315E+07
    22 |      470 |  9.674704E+07 |  8.165315E+07
    23 |      490 |  9.632143E+07 |  8.165315E+07
    24 |      510 |  9.765625E+07 |  8.165315E+07
    25 |      530 |  9.623846E+07 |  8.165315E+07
    26 |      550 |  9.557977E+07 |  8.165315E+07
    27 |      570 |  9.663352E+07 |  8.165315E+07
    28 |      590 |  9.596868E+07 |  8.165315E+07
    29 |      610 |  9.494182E+07 |  8.165315E+07
    30 |      630 |  9.570938E+07 |  8.165315E+07
    31 |      650 |  9.557559E+07 |  8.165315E+07
    32 |      670 |  9.623397E+07 |  8.165315E+07
    33 |      690 |  9.507027E+07 |  8.165315E+07
    34 |      710 |  9.494809E+07 |  8.165315E+07
    35 |      730 |  9.589346E+07 |  8.165315E+07
    36 |      750 |  9.567710E+07 |  8.165315E+07
    37 |      770 |  9.597783E+07 |  8.128970E+07
    38 |      790 |  9.445764E+07 |  8.128970E+07
    39 |      810 |  9.486286E+07 |  8.128970E+07
    40 |      830 |  9.366057E+07 |  8.128970E+07
    41 |      850 |  9.423576E+07 |  8.128970E+07
    42 |      870 |  9.392454E+07 |  8.128970E+07
    43 |      890 |  9.397364E+07 |  8.128970E+07
    44 |      910 |  9.392651E+07 |  8.128970E+07
    45 |      930 |  9.467757E+07 |  8.128970E+07
    46 |      950 |  9.354131E+07 |  8.128970E+07
    47 |      970 |  9.233421E+07 |  8.128970E+07
    48 |      990 |  9.367955E+07 |  8.128970E+07
    49 |     1010 |  9.270230E+07 |  8.128970E+07
    50 |     1030 |  9.375157E+07 |  8.128970E+07
    51 |     1050 |  9.396440E+07 |  8.128970E+07
    52 |     1070 |  9.268631E+07 |  8.128970E+07
    53 |     1090 |  9.330983E+07 |  8.128970E+07
    54 |     1110 |  9.382198E+07 |  8.128970E+07
    55 |     1130 |  9.384213E+07 |  8.128970E+07
    56 |     1150 |  9.327388E+07 |  8.128970E+07
    57 |     1170 |  9.283465E+07 |  8.128970E+07
    58 |     1190 |  9.321403E+07 |  8.128970E+07
    59 |     1210 |  9.236243E+07 |  8.128970E+07
    60 |     1230 |  9.290204E+07 |  8.128970E+07
    61 |     1250 |  9.217441E+07 |  8.128970E+07
    62 |     1270 |  9.335230E+07 |  8.128970E+07
    63 |     1290 |  9.282155E+07 |  8.128970E+07
    64 |     1310 |  9.352709E+07 |  8.128970E+07
    65 |     1330 |  9.292470E+07 |  8.128970E+07
    66 |     1350 |  9.391676E+07 |  8.128970E+07
    67 |     1370 |  9.362720E+07 |  8.128970E+07
