SBY_nc_48_ncl_3_nv_100_historical_4.json
Iteration 0, Best Total Cost: 5586894.8, total distance:673.8909999999998
Local search iteration 0, new objective: 5301852.0
Local search iteration 1, new objective: 5082514.0
Local search iteration 2, new objective: 5008543.6
Local search iteration 3, new objective: 4971622.8
Local search iteration 4, new objective: 4786313.2
Local search iteration 5, new objective: 4734426.4
Local search iteration 6, new objective: 4693456.8
Local search iteration 7, new objective: 4656639.6
Local search iteration 8, new objective: 4622602.8
Local search iteration 9, new objective: 4592460.8
Local search iteration 10, new objective: 4578102.4
Local search iteration 11, new objective: 4567865.6
Local search iteration 12, new objective: 4555307.6
Local search iteration 13, new objective: 4545440.4
Local search iteration 14, new objective: 4515150.0
Local search iteration 15, new objective: 4507004.8
Local search iteration 16, new objective: 4479777.6
Local search iteration 17, new objective: 4472898.0
Local search iteration 18, new objective: 4467219.6
Local search iteration 19, new objective: 4463263.2
Local search iteration 20, new objective: 4459911.6
Local search iteration 21, new objective: 4456770.0
Local search iteration 22, new objective: 4454062.4
Local search iteration 23, new objective: 4452595.2
Local search iteration 24, new objective: 4451881.2
Local search iteration 25, new objective: 4450204.0
Local search iteration 26, new objective: 4448011.6
Local search iteration 27, new objective: 4446345.6
Local search iteration 28, new objective: 4445698.8
Local search iteration 29, new objective: 4445040.8
Local search iteration 30, new objective: 4444783.2
Local search iteration 31, new objective: 4443685.6
Local search iteration 32, new objective: 4442781.2
Local search iteration 33, new objective: 4442375.2
Local search iteration 34, new objective: 4442002.8
