======================================================================================================
n_gen  |  n_eval  |    f     |    S    |    w    |    c1    |    c2    |     f_avg     |     f_min    
======================================================================================================
     1 |       50 |        - |       - |  0.9000 |  2.00000 |  2.00000 |  5.142153E+07 |  4.102440E+07
     2 |      100 |  0.39070 |       2 |  0.6480 |  2.04752 |  1.95248 |  4.804327E+07 |  4.058276E+07
     3 |      150 |  0.18219 |       3 |  0.5171 |  2.04638 |  1.97774 |  4.708747E+07 |  4.058276E+07
     4 |      200 |  0.10051 |       3 |  0.4640 |  2.03344 |  1.99254 |  4.614622E+07 |  4.058276E+07
     5 |      250 |  0.10306 |       3 |  0.4657 |  2.01988 |  2.00815 |  4.561372E+07 |  4.058276E+07
     6 |      300 |  0.05009 |       3 |  0.4316 |  2.00572 |  2.01899 |  4.532352E+07 |  4.058276E+07
     7 |      350 |  0.05987 |       3 |  0.4379 |  1.99355 |  2.03415 |  4.502257E+07 |  4.058276E+07
     8 |      400 |  0.03638 |       3 |  0.4229 |  1.98032 |  2.05046 |  4.483128E+07 |  4.058276E+07
     9 |      450 |  0.05872 |       3 |  0.4371 |  1.96603 |  2.06596 |  4.448880E+07 |  3.981612E+07
    10 |      500 |  0.35882 |       2 |  0.6289 |  1.99247 |  2.01549 |  4.436726E+07 |  3.981612E+07
    11 |      550 |  0.32433 |       2 |  0.6077 |  2.02909 |  1.97290 |  4.430442E+07 |  3.981612E+07
    12 |      600 |  0.29479 |       2 |  0.5893 |  2.07089 |  1.92960 |  4.429543E+07 |  3.981612E+07
    13 |      650 |  0.28281 |       2 |  0.5817 |  2.10847 |  1.89165 |  4.416161E+07 |  3.981612E+07
    14 |      700 |  0.26800 |       2 |  0.5723 |  2.14533 |  1.85470 |  4.410213E+07 |  3.981612E+07
    15 |      750 |  0.26800 |       2 |  0.5723 |  2.18782 |  1.81219 |  4.410213E+07 |  3.981612E+07
    16 |      800 |  0.26800 |       2 |  0.5723 |  2.22447 |  1.77553 |  4.410213E+07 |  3.981612E+07
    17 |      850 |  0.26427 |       2 |  0.5699 |  2.27233 |  1.72767 |  4.409636E+07 |  3.981612E+07
    18 |      900 |  0.27839 |       2 |  0.5789 |  2.29896 |  1.70104 |  4.406233E+07 |  3.981612E+07
    19 |      950 |  0.26404 |       2 |  0.5698 |  2.33084 |  1.66916 |  4.395345E+07 |  3.981612E+07
    20 |     1000 |  0.25370 |       2 |  0.5632 |  2.36368 |  1.63632 |  4.392305E+07 |  3.981612E+07
    21 |     1050 |  0.25370 |       2 |  0.5632 |  2.39137 |  1.60863 |  4.392305E+07 |  3.981612E+07
    22 |     1100 |  0.25370 |       2 |  0.5632 |  2.44027 |  1.55973 |  4.392305E+07 |  3.981612E+07
    23 |     1150 |  0.24603 |       2 |  0.5583 |  2.48259 |  1.51741 |  4.391032E+07 |  3.981612E+07
    24 |     1200 |  0.23837 |       2 |  0.5534 |  2.50000 |  1.50000 |  4.388267E+07 |  3.981612E+07
    25 |     1250 |  0.22664 |       3 |  0.5458 |  2.47714 |  1.53153 |  4.387983E+07 |  3.981612E+07
    26 |     1300 |  0.22167 |       3 |  0.5426 |  2.45785 |  1.55829 |  4.382325E+07 |  3.981612E+07
    27 |     1350 |  0.22117 |       3 |  0.5423 |  2.44014 |  1.58053 |  4.371680E+07 |  3.981612E+07
    28 |     1400 |  0.22117 |       3 |  0.5423 |  2.41765 |  1.60985 |  4.371680E+07 |  3.981612E+07
    29 |     1450 |  0.22117 |       3 |  0.5423 |  2.39244 |  1.63532 |  4.371680E+07 |  3.981612E+07
    30 |     1500 |  0.22117 |       3 |  0.5423 |  2.36866 |  1.65700 |  4.371680E+07 |  3.981612E+07
    31 |     1550 |  0.20285 |       3 |  0.5304 |  2.34640 |  1.67972 |  4.357609E+07 |  3.981612E+07
    32 |     1600 |  0.20285 |       3 |  0.5304 |  2.32324 |  1.70680 |  4.357609E+07 |  3.981612E+07
    33 |     1650 |  0.20078 |       3 |  0.5291 |  2.30016 |  1.72579 |  4.350639E+07 |  3.981612E+07
    34 |     1700 |  0.20078 |       3 |  0.5291 |  2.27969 |  1.74630 |  4.350639E+07 |  3.981612E+07
    35 |     1750 |  0.20078 |       3 |  0.5291 |  2.26145 |  1.75811 |  4.350639E+07 |  3.981612E+07
    36 |     1800 |  0.20078 |       3 |  0.5291 |  2.24446 |  1.78421 |  4.350639E+07 |  3.981612E+07
    37 |     1850 |  0.20078 |       3 |  0.5291 |  2.22423 |  1.80144 |  4.350639E+07 |  3.981612E+07
    38 |     1900 |  0.20078 |       3 |  0.5291 |  2.20511 |  1.82478 |  4.350639E+07 |  3.981612E+07
    39 |     1950 |  0.19051 |       3 |  0.5225 |  2.18593 |  1.83640 |  4.348767E+07 |  3.981612E+07
