=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
     1 |       50 |  3.452994E+07 |  2.390558E+07
     2 |      100 |  3.206702E+07 |  2.081563E+07
     3 |      150 |  2.954956E+07 |  2.081563E+07
     4 |      200 |  2.834833E+07 |  2.018472E+07
     5 |      250 |  2.691588E+07 |  2.018472E+07
     6 |      300 |  2.629029E+07 |  2.018472E+07
     7 |      350 |  2.470879E+07 |  2.018472E+07
     8 |      400 |  2.393207E+07 |  2.018472E+07
     9 |      450 |  2.337523E+07 |  1.772066E+07
    10 |      500 |  2.311903E+07 |  1.772066E+07
    11 |      550 |  2.293755E+07 |  1.772066E+07
    12 |      600 |  2.221489E+07 |  1.772066E+07
    13 |      650 |  2.169539E+07 |  1.684900E+07
    14 |      700 |  2.149138E+07 |  1.684900E+07
    15 |      750 |  2.134604E+07 |  1.684900E+07
    16 |      800 |  2.126907E+07 |  1.684900E+07
    17 |      850 |  2.102065E+07 |  1.684900E+07
    18 |      900 |  2.054099E+07 |  1.684900E+07
    19 |      950 |  2.036192E+07 |  1.684900E+07
    20 |     1000 |  2.028718E+07 |  1.684900E+07
    21 |     1050 |  2.021009E+07 |  1.684900E+07
    22 |     1100 |  2.018922E+07 |  1.684900E+07
    23 |     1150 |  2.018515E+07 |  1.684900E+07
    24 |     1200 |  2.015191E+07 |  1.684900E+07
    25 |     1250 |  2.015191E+07 |  1.684900E+07
    26 |     1300 |  2.000533E+07 |  1.684900E+07
    27 |     1350 |  1.983755E+07 |  1.679688E+07
    28 |     1400 |  1.969300E+07 |  1.679688E+07
    29 |     1450 |  1.958504E+07 |  1.666923E+07
    30 |     1500 |  1.958504E+07 |  1.666923E+07
    31 |     1550 |  1.956359E+07 |  1.666923E+07
    32 |     1600 |  1.955248E+07 |  1.666923E+07
    33 |     1650 |  1.955162E+07 |  1.666923E+07
    34 |     1700 |  1.946753E+07 |  1.650734E+07
    35 |     1750 |  1.946248E+07 |  1.650734E+07
    36 |     1800 |  1.936629E+07 |  1.650734E+07
    37 |     1850 |  1.920455E+07 |  1.643615E+07
    38 |     1900 |  1.918859E+07 |  1.643615E+07
    39 |     1950 |  1.918586E+07 |  1.643615E+07
    40 |     2000 |  1.916916E+07 |  1.643615E+07
    41 |     2050 |  1.916620E+07 |  1.643615E+07
    42 |     2100 |  1.916118E+07 |  1.643615E+07
    43 |     2150 |  1.914498E+07 |  1.643615E+07
    44 |     2200 |  1.908150E+07 |  1.643615E+07
    45 |     2250 |  1.908150E+07 |  1.643615E+07
    46 |     2300 |  1.906595E+07 |  1.643615E+07
    47 |     2350 |  1.906595E+07 |  1.643615E+07
    48 |     2400 |  1.906472E+07 |  1.643615E+07
    49 |     2450 |  1.905543E+07 |  1.643615E+07
    50 |     2500 |  1.904654E+07 |  1.643615E+07
    51 |     2550 |  1.904538E+07 |  1.643615E+07
    52 |     2600 |  1.898124E+07 |  1.632074E+07
    53 |     2650 |  1.897810E+07 |  1.632074E+07
    54 |     2700 |  1.897545E+07 |  1.632074E+07
    55 |     2750 |  1.896629E+07 |  1.632074E+07
    56 |     2800 |  1.896629E+07 |  1.632074E+07
    57 |     2850 |  1.896405E+07 |  1.632074E+07
    58 |     2900 |  1.888743E+07 |  1.632074E+07
    59 |     2950 |  1.887654E+07 |  1.632074E+07
    60 |     3000 |  1.887654E+07 |  1.632074E+07
    61 |     3050 |  1.887542E+07 |  1.632074E+07
    62 |     3100 |  1.882187E+07 |  1.632074E+07
    63 |     3150 |  1.882168E+07 |  1.632074E+07
    64 |     3200 |  1.881884E+07 |  1.617893E+07
    65 |     3250 |  1.875007E+07 |  1.617893E+07
    66 |     3300 |  1.874390E+07 |  1.617893E+07
    67 |     3350 |  1.862822E+07 |  1.617893E+07
    68 |     3400 |  1.862779E+07 |  1.617893E+07
    69 |     3450 |  1.855717E+07 |  1.617893E+07
    70 |     3500 |  1.855556E+07 |  1.617893E+07
    71 |     3550 |  1.849291E+07 |  1.617893E+07
    72 |     3600 |  1.844286E+07 |  1.617893E+07
    73 |     3650 |  1.844249E+07 |  1.617893E+07
    74 |     3700 |  1.836935E+07 |  1.617893E+07
    75 |     3750 |  1.830336E+07 |  1.617893E+07
    76 |     3800 |  1.829592E+07 |  1.617893E+07
    77 |     3850 |  1.829592E+07 |  1.617893E+07
    78 |     3900 |  1.822703E+07 |  1.617893E+07
    79 |     3950 |  1.822703E+07 |  1.617893E+07
    80 |     4000 |  1.814665E+07 |  1.617893E+07
    81 |     4050 |  1.814157E+07 |  1.617893E+07
    82 |     4100 |  1.814157E+07 |  1.617893E+07
    83 |     4150 |  1.814157E+07 |  1.617893E+07
    84 |     4200 |  1.813476E+07 |  1.617893E+07
    85 |     4250 |  1.807747E+07 |  1.617893E+07
    86 |     4300 |  1.807656E+07 |  1.617893E+07
    87 |     4350 |  1.807634E+07 |  1.617893E+07
    88 |     4400 |  1.805681E+07 |  1.617893E+07
    89 |     4450 |  1.805070E+07 |  1.617893E+07
    90 |     4500 |  1.804674E+07 |  1.617893E+07
    91 |     4550 |  1.804646E+07 |  1.617893E+07
    92 |     4600 |  1.804646E+07 |  1.617893E+07
    93 |     4650 |  1.804627E+07 |  1.617893E+07
    94 |     4700 |  1.804587E+07 |  1.617893E+07
